FAO_code,Latin,English,Spanish,French
fip,Fistularia petimba,Red cornetfish,Corneta colorada,Cornette rouge
fis,Channa micropeltes,Indonesian snakehead,Cabeza de serpiente rojo,Tête de serpent d'Indonésie
fit,Fistularia spp,Flutemouth,,
fiu,Ficus subintermedia,Underlined fig shell,,Pyrule ficoide
fiv,Fimbria soverbii,Elegant basket lucina,,Corbis élégant
fiw,Balaenoptera physalus,Fin whale,Rorcual común,Rorqual commun
fix,Flabellum spp,Flabellum cup corals nei,,
fjd,Fungia danai,Spiny mushroom coral,,
fje,Fungia echinata,Rough feather coral,,
fjf,Fungia fungites,Common mushroom coral,,
fjp,Fungia paumotensis,Elongate mushroom coral,,
fjr,Caesio suevica,Suez fusilier,Fusilero de Suez,Fusilier de Suez
fjs,Sardinella fijiense,Fiji sardinella,,
fjx,Pholas spp,,,
fkg,Sphaerechinus granularis,Violet sea urchin,Erizo violaceo,Oursin violet
fkl,Fasciolaria lignaria,Wooden fasciolaria,Huso lenoso,Fasciolaire
fkn,Notopterus spp,Knifefishes,,
fkp,Scapharca pilula,Pill ark,,Arche pilule
fku,Furcellaria lumbricalis,Red forkweed,Cuerno de ciervo,Furcelle cespiteuse
fkx,Fasciolaria spp,,,
fla,Percophis brasiliensis,Brazilian flathead,Pez palo,Platête brésilien
flb,Florenciella lugubris,,,
flc,Pharella acutidens,Sharp razor clam,,Couteau tranchant
fld,Scophthalmus aquosus,Windowpane flounder,Rodaballo arenero,Turbot de sable
fle,Platichthys flesus,European flounder,Platija europea,Flet d'Europe
flf,Cantherhines(=Navodon) spp,Filefishes nei,Cachúas nep,Bourses
flg,Filicampus tigris,Tiger pipefish,,
flh,Platycephalidae,Flatheads nei,Platicefálidos nep,Platycéphalidés
fli,Platycephalus indicus,Bartail flathead,Chato índico,Platycéphale indien
flj,Pharella javanica,Javanese razor clam,,Couteau javanais
flk,Pholas chiloensis,Pacific coast angel wing,Ala de ángel comes,Aile d'ange du Pacifique
fll,Flabelligobius latruncularius,,,
flm,Phyllonotus margaritensis,Margarita murex,Busano margarita,Murex marguerite
fln,Pherallodus indicus,,,
flo,Phyllonotus pomum,Apple murex,Busano manzanero,Rocher pomme
flp,Penaeus chinensis,Fleshy prawn,Langostino carnoso,Crevette charnue
flq,Flabellum alabastrum,,,
flr,Philypnodon grandiceps,,,
fls,Paralichthys dentatus,Summer flounder,Falso halibut del Canadá,Cardeau d'été
flt,Monopterus albus,Asian swamp eel,,
flu,Protopterus spp,African lungfishes,Protopteros africanos,Protoptères d'Afrique
flv,Flabellum angulare,,,
flw,Pseudopleuronectes americanus,Winter flounder,Solla roja,Limande-plie rouge
flx,Pleuronectiformes,Flatfishes nei,Peces planos nep,Poissons plats
fly,Exocoetidae,Flyingfishes nei,Voladores nep,Exocets
flz,Flabellum macandrewi,Splitting fan coral,,
fma,Parosphromenus allani,,,
fmb,Fusitriton magellanicus,,,
fmc,Pseudosphromenus cupanus,Spiketail paradisefish,,
fmg,Phalium granulatum,Grooved helmet,Casco acanalado,Casque cannelé
fmk,Phymatolithon calcareum,Chalk weed,Alga de cal,Maërl commun
fmn,Sphaeramia nematoptera,Pajama cardinalfish,,
fms,Phalium saburon,Saburon helmet,Casco redondo,Casque saburon
fmv,Siphamia versicolor,Sea urchin cardinalfish,,
fng,Siphonaria gigas,Giant false limpet,Sifonaria gigante,Siphonaire géante
fnj,Siphonaria javanica,Javanese false limpet,,Siphonaire de Java
fnl,Siphonaria laciniosa,Fringed false limpet,,Siphonaire laciniée
fno,Fulmarus glacialis,Northern fulmar,Fulmar norteño,Fulmar boréal
fns,Siphonaria sirius,Sirius false limpet,,Siphonaire de Sirius
fnt,Phyllonotus trunculus,Banded murex,Busano,Murex tubercule
fnx,Phyllonotus duplex,Duplex murex,Cañailla espinuda,Rocher duplex
foa,Fodiator acutus,Sharpchin flyingfish,,
fob,Foa brachygramma,Weed cardinalfish,,
foc,Foetorepus calauropomus,Common stinkfish,,
fod,Pholas dactylus,Common piddock,Almeja brava,Pholade commune
foe,Rana latastei,,,
fof,Foerschichthys flavipinnis,,,
foh,Forsterygion bathytaton,Chatham deep-water triplefin,,
foi,Rana limnocharis,Indian rice frog,,
fok,Rana catesbeiana,American bull frog,Rana toro americana,Grenouille-taureau americaine
fol,Trophon albolabratus,Antarctic trophon,Busano antártico,Trophon antarctique
fon,Pholidichthys anguis,,,
foo,Pholas orientalis,Oriental angel wing,,Aile d'ange orientale
fop,Rana cyanophlyctis,Indian skipper frog,,
for,Phycis phycis,Forkbeard,Brótola de roca,Phycis de roche
fos,Rana crassa,,,
fot,Eleutheronema tetradactylum,Fourfinger threadfin,Barbudo de cuatro dedos,Barbure à quatre doigts
fou,Rana fuscigula,,,
fov,Rana vertebralis,,,
fox,Phycis spp,Forkbeards nei,Brótolas nep,Phycis
foy,Rana blythii,,,
fpa,Fratercula arctica,Atlantic puffin,Frailecillo atlántico,Macareux moine
fpc,Anabas testudineus,Climbing perch,Perca trepadora,Anabas
fpe,Perca fluviatilis,European perch,Perca,Perche européenne
fpi,Esox lucius,Northern pike,Lucio,Brochet du Nord
fpj,Aplodactylus punctatus,,Jerguilla,
fpp,Sander lucioperca,Pike-perch,Lucioperca,Sandre
fpx,Trophon spp,,,
fpy,Perca flavescens,American yellow perch,Perca canadiense,Perchaude
fqc,Telmatobius culeus,,,
fqj,Funiculina quadrangularis,,,
fra,Pontoporia blainvillei,Franciscana,Franciscana,Dauphin de la Plata
frb,Septifer bilocularis,Box mussel,,Septifere commun
frc,Fraudella carassiops,,,
frd,Lagenodelphis hosei,Fraser's dolphin,Delfín de Fraser,Dauphin de Fraser
fre,Frontilabrus caeruleus,,,
frf,Osteichthyes,Freshwater fishes nei,Peces de agua dulce nep,Poissons d'eau douce
frg,Rana spp,Frogs,Ranas,Grenouilles
frh,Rana hexadactyla,Indian green frog,,
fri,Auxis thazard,Frigate tuna,Melva,Auxide
frj,Artemia franciscana,,,
frk,Rana cancrivora,Crab-eating frog,,
frl,Pharus legumen,Bean solen,Navallon,Cératisole-gousse
frm,Rana magna,,,
frn,Phrynorhombus norvegicus,Norwegian topknot,,
fro,Rutilus rutilus,Roach,Rutilo,Gardon
frp,Porphyra perforata,Frilled nori,Nori escarolado,Nori froncé
frq,Rana heckscheri,River frog,,
frr,Sphaerichthys acrostoma,,,
frs,Sardinella fimbriata,Fringescale sardinella,Tunsoy,Tunsoy
frt,Rana tigrina,Asiatic bull frog,,
fru,Phanerodon furcatus,White seaperch,,
frx,Rutilus spp,Roaches nei,Rutilos nep,Gardons
frz,"Auxis thazard, A. rochei",Frigate and bullet tunas,Melva y melvera,Auxide et bonitou
fsa,Rhombosolea spp,Sand flounders nei,Sollas de arena nep,Rhombosoles
fsb,Fissurella barbadensis,Barbados keyhole limpet,Lapa de Barbados,Fissurelle des Barbades
fsc,Pelecus cultratus,Sichel,Peleco,
fsd,Fusinus dupetitthouarsi,Du Petit's spindle,Tulipan blanco,Fasciolaire blanche
fse,Fissurella virescens,Green Panama keyhole limpet,Fisurela verde,Fissurelle verte
fsg,Pacifastacus nigrescens,Sooty crayfish,,
fsh,Ex Unionidae,Freshwater mussel shells,Conchas de mejillón agua dulce,Coquilles des moules eau douce
fsi,Siluroidei,Freshwater siluroids nei,Siluroideos de agua dulce nep,Silurides d'eau douce
fsk,Fissurella coarctata,Compressed keyhole limpet,Fisurela chata,Fissurelle compressée
fsm,Fissurella nimbosa,Rayed keyhole limpet,Lapa radiante,Fissurelle rayonnante
fsn,Channa spp,Snakeheads(=Murrels) nei,Cabezas de serpiente nep,Poissons tête de serpent
fso,Fusinus rostratus,Beaked fusus,Huso,Fuseau de Tarente
fsr,Fossorochromis rostratus,,,
fss,Channa striata,Striped snakehead,Cabeza de serpiente cabrío,Tête de serpent strié
fst,Fasciolaria tulipa,True tulip,Tulipan verdadero,Fasciolaire tulipe
fsu,Fissurella nubecula,Cloudy keyhole limpet,Fisurela nebulosa,Fissurelle nuageuse
fsv,Asaphis violascens,Pacific asaphis,,Sanguinolaire rugueuse
fsx,Fissurella spp,,,
fsy,Fusinus syracusanus,Syracusan fusus,Huso de Siracusa,Fuseau rubane
fta,Periophthalmus argentilineatus,Barred mudskipper,,
ftb,Pholidoteuthis boschmai,Coffeebean scaled squid,Luria escamuda cafetal,Loutène battoir
ftd,Pholidoteuthis adami,Scaled squid,Luria escamuda,Loutène commune
fte,Tinca tinca,Tench,Tenca,Tanche
ftf,Periophthalmodon freycineti,,,
ftg,Phyllonotus regius,Regal murex,Busano real,Murex royal
ftl,Platycephalus conatus,Deep-water flathead,,
ftq,Pacifastacus fortis,Shasta crayfish,,
ftr,Phyllonotus brassica,Cabbage murex,Busano repollo,Murex chou
fts,Hippoglossoides elassodon,Flathead sole,Platija japonesa,Balai du Japon
ftx,Scapharca spp,,,
fty,Phyllonotus erythrostoma,Pink-mouthed murex,Busano rosado,Murex rose
fua,Fucaceae,Wracks nei,Algas fuco nep,Algues fucus
fuc,Fistularia corneta,Pacific cornetfish,Corneta flautera,Cornette fluteau
fud,Fusigobius duospilus,Barenape goby,,
fug,Fulmarus glacialoides,Southern fulmar,Fulmar austral,Fulmar argenté
fui,Furcina ishikawae,,,
fuk,Fusinus colus,Distaff spindle,,Fuseau quenouille
ful,Fusinus closter,Philippi's spindle,Huso de Philippi,Fuseau de Philippi
fum,Fucomimus mus,Mousey klipfish,,
fun,Fusinus nicobaricus,Nicobar spindle,,Fuseau de Nicobar
fuq,Phalium centiquadratum,Pacific Scotch bonnet,Casco granuloso del Pacífico,Casque granuleux du Pacifique
fus,Caesio spp,Fusiliers Caesio nei,Fusileros Caesio nep,Fusiliers Caesio
fut,Fistularia tabacaria,Cornetfish,Corneta,Cornette tachetée
fuu,Fucus serratus,Toothed wrack,,
fuv,Fucus vesiculosus,Bladder wrack,Fucus,Chone marin
fux,Fundulus bifax,Stippled studfish,,
fuy,Fundulosoma thierryi,,,
fva,Favonigobius aliciae,,,
fve,Coregonus albula,Vendace,Coregono blanco,Corégone blanc
fvf,Favia favus,Head coral,,
fvm,Fulvia mutica,Japanese cockle,,
fvp,Fulvia papyracea,Paper cockle,,Bucarde papier
fvx,Fulvia spp,,,
fwa,Farlowella acus,Whiptail catfish,,
fwu,Fowleria aurita,Crosseyed cardinalfish,,
fwx,Asaphis spp,,,
fxb,Bathyphylax bombifrons,,,
fxc,Phaeoptyx conklini,Freckled cardinalfish,,
fxe,Festucalex erythraeus,,,
fxf,Flexopecten flexuosus,Flexuous scallop,Vieira ondulada,Pétoncle onde
fxg,Flexopecten glaber,Smooth scallop,Xelet,Pétoncle glabre
fxl,Faxonella clypeata,Ditch fencing crayfish,,
fxm,Feroxodon multistriatus,Manystriped blowfish,,
fxp,Flexopecten proteus,Proteus scallop,Vieira proteo,Pétoncle protée
fxw,Festucalex wassi,,,
fxx,Eunice spp,Eunice sea-worms,,
fyb,Sphyraenops bairdianus,,,
fyc,Floridichthys carpio,Goldspotted killifish,,
fys,Porphyra spp,Nori nei,Luche,Nori
fyu,Acanthephyra curtirostris,Peaked shrimp,,
fyx,Stellifer spp,,,
fzg,Carbasea ovoidea,,,
fzp,Puntius lateristriga,Spanner barb,,
gab,Galeus boardmani,Australian sawtail catshark,Pintarroja australiana,Chien égoine
gac,Gadomus arcuatus,Doublethread grenadier,,
gad,Gadiformes,Gadiformes nei,Gadiformes nep,Gadiformes
gae,Galeus eastmani,Gecko catshark,Pintarroja salamanquesa,Chien gecko
gaf,Apistogramma trifasciata,,,
gag,Galeorhinus galeus,Tope shark,Cazón,Requin-hâ
gah,Galeus schultzi,Dwarf sawtail catshark,Pintarroja enana,Chien nain
gai,Galeus sauteri,Blacktip sawtail catshark,Pintarroja rabonegro,Chien lime
gaj,Coracinus capensis,Galjoen,Damba,Galjoin franc
gak,Galene bispinosa,Square-shelled crab,,
gal,Galeoides decadactylus,Lesser African threadfin,Barbudo enano africano,Petit capitaine
gam,Galeus murinus,Mouse catshark,Pintarroja islándica,Chien islandais
gan,Galeus nipponensis,Broadfin sawtail catshark,Pintarroja nipona,Chien planeur
gao,Galeus longirostris,,,
gap,Galeus piperatus,Peppered catshark,Pejegato pimienta,Chien poivré
gaq,Galeus polli,African sawtail catshark,Pintarroja africana,Chien râpe
gar,Belone belone,Garfish,Aguja,Orphie
gas,Gastropoda,Gastropods nei,Gasterópodos nep,Gastropodes
gat,Galeichthys feliceps,White barbel,Bagre barba blanca,Barbillon blanc
